area,condo_complex,bathrooms,new_address,legal_status,furniture_state,frontage,floors,bedrooms
54.1,0,4.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,4.15,5.0,3.0
40.0,0,3.0,"Hồng Bàng, Hải Phòng",Have certificate,,4.0,3.0,3.0
100.0,0,1.0,"Quận 9, Hồ Chí Minh",,Full,5.0,1.0,2.0
30.0,0,3.0,"Tây Hồ, Hà Nội",Have certificate,Full,,5.0,3.0
63.4,0,3.0,"Quận 8, Hồ Chí Minh",Have certificate,,4.0,3.0,4.0
40.0,0,3.0,"Hoài Đức, Hà Nội",Have certificate,Basic,5.1,4.0,4.0
33.0,0,,"Hà Đông, Hà Nội",Have certificate,Basic,,5.0,
33.6,0,3.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,4.2,3.0,3.0
48.0,0,,"Tây Hồ, Hà Nội",Have certificate,,,3.0,
76.5,0,4.0,"Thuận An, Bình Dương",Have certificate,Full,5.0,3.0,4.0
138.0,0,3.0,"Quận 8, Hồ Chí Minh",Have certificate,Basic,,,3.0
88.0,0,3.0,"Hải Châu, Đà Nẵng",Have certificate,Full,,2.0,3.0
52.0,0,4.0,"Ba Đình, Hà Nội",Have certificate,Full,,5.0,6.0
50.0,0,5.0,"Đống Đa, Hà Nội",Have certificate,Basic,4.0,5.0,5.0
80.0,0,5.0,"Quận 7, Hồ Chí Minh",Have certificate,Full,,3.0,4.0
33.0,0,4.0,"Hoài Đức, Hà Nội",Have certificate,Full,,5.0,4.0
24.0,0,3.0,"Quận 4, Hồ Chí Minh",Have certificate,Full,4.0,5.0,3.0
51.0,0,2.0,"Quận 8, Hồ Chí Minh",Have certificate,,3.0,2.0,3.0
72.0,0,4.0,"Bình Tân, Hồ Chí Minh",Have certificate,,4.0,3.0,4.0
61.5,0,,"Tân Phú, Hồ Chí Minh",,,4.1,2.0,
52.0,0,4.0,"Phú Nhuận, Hồ Chí Minh",Have certificate,Full,4.0,4.0,4.0
54.0,0,,"Hoàn Kiếm, Hà Nội",Have certificate,Basic,,3.0,3.0
50.0,0,5.0,"Ba Đình, Hà Nội",Have certificate,,6.0,5.0,4.0
36.3,0,2.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,3.0,2.0,2.0
68.0,0,2.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,4.2,2.0,2.0
81.0,0,3.0,"Thanh Khê, Đà Nẵng",Have certificate,,4.0,3.0,4.0
32.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Basic,,4.0,3.0
78.0,0,3.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,Full,,3.0,3.0
40.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Basic,4.0,4.0,3.0
123.0,0,6.0,"Hóc Môn, Hồ Chí Minh",,,15.0,1.0,4.0
55.0,0,,"Hoàng Mai, Hà Nội",Have certificate,Basic,,,
52.2,0,,"Quận 1, Hồ Chí Minh",Have certificate,,3.7,3.0,3.0
50.36,0,,"Bình Tân, Hồ Chí Minh",Have certificate,Basic,,3.0,
65.0,0,2.0,"Tân Phú, Hồ Chí Minh",Have certificate,Full,4.5,2.0,2.0
32.0,0,,"Hà Đông, Hà Nội",,,4.0,3.0,
44.0,0,,"Thủ Đức, Hồ Chí Minh",Have certificate,,,4.0,4.0
38.0,0,,"Thanh Xuân, Hà Nội",Have certificate,Full,,5.0,5.0
62.0,0,6.0,"Bình Tân, Hồ Chí Minh",Have certificate,Basic,6.0,3.0,5.0
35.0,0,2.0,"Hà Đông, Hà Nội",Have certificate,Basic,,4.0,2.0
61.9,0,3.0,"Thủ Đức, Hồ Chí Minh",Have certificate,Basic,4.0,3.0,3.0
73.0,0,2.0,"Hải Châu, Đà Nẵng",Have certificate,,3.4,2.0,4.0
55.0,0,3.0,"Thanh Khê, Đà Nẵng",Have certificate,Full,4.0,2.0,4.0
39.0,0,2.0,"Quận Hà Đông, Hà Nội",Have certificate,Full,5.99,3.0,3.0
120.0,0,,"Thủ Dầu Một, Bình Dương",Have certificate,,4.0,,
35.0,0,3.0,"Bắc Từ Liêm, Hà Nội",Have certificate,Basic,,5.0,3.0
67.0,0,,"Quận 9, Hồ Chí Minh",,,5.0,2.0,3.0
35.0,0,5.0,"Ba Đình, Hà Nội",Have certificate,Basic,4.0,6.0,8.0
90.0,0,2.0,"Thuận An, Bình Dương",Have certificate,Full,6.0,2.0,3.0
31.0,0,4.0,"Long Biên, Hà Nội",Have certificate,Basic,5.0,5.0,3.0
107.0,0,2.0,"Quận 12, Hồ Chí Minh",Have certificate,Full,6.0,2.0,3.0
64.0,0,5.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,,4.0,4.0
80.79,0,1.0,"Nha Trang, Khánh Hòa",Have certificate,,8.0,,2.0
40.0,0,3.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,,4.0,2.0
36.0,0,2.0,"Quận 4, Hồ Chí Minh",Have certificate,Basic,6.5,2.0,2.0
90.0,0,,"Quận Ngũ Hành Sơn, Đà Nẵng",Have certificate,,,2.0,
100.0,1,,"Nhơn Trạch, Đồng Nai",Have certificate,,5.0,3.0,
32.0,0,3.0,"Quận 10, Hồ Chí Minh",Have certificate,Full,,5.0,5.0
22.0,0,,"Tân Bình, Hồ Chí Minh",,,5.8,3.0,
30.3,0,,"Hà Đông, Hà Nội",Have certificate,,,,
43.0,0,,"Hoàng Mai, Hà Nội",Have certificate,Basic,,,
50.0,0,9.0,"Thanh Xuân, Hà Nội",Have certificate,,5.0,5.0,9.0
26.0,0,2.0,"Quận 1, Hồ Chí Minh",Have certificate,Basic,3.3,2.0,3.0
42.0,0,4.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,4.0,5.0,3.0
40.0,0,3.0,"Biên Hòa, Đồng Nai",Have certificate,,,2.0,3.0
56.0,0,1.0,"Hà Đông, Hà Nội",,,,,2.0
45.0,0,2.0,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,Full,5.0,2.0,2.0
51.0,0,5.0,"Hà Đông, Hà Nội",Have certificate,Full,4.0,5.0,4.0
30.0,0,4.0,"Long Biên, Hà Nội",Have certificate,Full,,5.0,3.0
48.0,0,2.0,"Quận 8, Hồ Chí Minh",Have certificate,,,2.0,2.0
104.0,0,,"Quận 11, Hồ Chí Minh",Have certificate,Basic,6.0,2.0,
80.0,0,,"Bình Tân, Hồ Chí Minh",Have certificate,Basic,12.0,2.0,4.0
51.0,0,5.0,"Cầu Giấy, Hà Nội",Have certificate,,5.0,5.0,4.0
36.1,0,2.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,3.0,2.0,2.0
483.0,0,3.0,"Nha Trang, Khánh Hòa",Have certificate,Full,18.0,2.0,4.0
32.0,0,4.0,"Hà Đông, Hà Nội",Have certificate,Full,,5.0,3.0
76.0,0,4.0,"Thủ Đức, Hồ Chí Minh",,Basic,4.2,4.0,4.0
35.0,0,3.0,"Thanh Oai, Hà Nội",Have certificate,Basic,,4.0,3.0
86.0,0,1.0,"Nha Trang, Khánh Hòa",Have certificate,Basic,4.0,2.0,2.0
122.0,0,6.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,,,6.0
100.0,1,4.0,"Nha Trang, Khánh Hòa",Have certificate,,,3.0,4.0
60.0,0,3.0,"Thanh Khê, Đà Nẵng",Have certificate,Full,6.0,3.0,3.0
85.0,1,3.0,"Bến Lức, Long An",Have certificate,,5.0,3.0,4.0
119.0,0,3.0,"Thủ Dầu Một, Bình Dương",,Basic,,3.0,5.0
72.0,0,5.0,"Đống Đa, Hà Nội",Have certificate,Full,43.0,4.0,5.0
82.5,0,3.0,"Quận 7, Hồ Chí Minh",Have certificate,,,2.0,2.0
31.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Basic,,5.0,3.0
34.0,0,4.0,"Thanh Trì, Hà Nội",Have certificate,Full,,4.0,3.0
376.5,0,,"Long Thành, Đồng Nai",Have certificate,Full,10.0,,
33.0,0,3.0,"Huyện Chương Mỹ, Hà Nội",Have certificate,Basic,3.3,3.0,3.0
38.0,0,,"Hoàng Mai, Hà Nội",Have certificate,,,5.0,
40.0,0,2.0,"Nam Từ Liêm, Hà Nội",Have certificate,,3.0,3.0,2.0
125.0,1,5.0,"Liên Chiểu, Đà Nẵng",Have certificate,Basic,6.0,3.0,5.0
32.0,0,,"Hoài Đức, Hà Nội",Have certificate,Full,,5.0,3.0
208.0,0,2.0,"Cần Đước, Long An",Have certificate,Basic,8.0,1.0,2.0
