iter	Passed	Remaining
0	3	3792
1	6	3520
2	10	3630
3	13	3619
4	17	3609
5	21	3670
6	24	3711
7	28	3683
8	31	3662
9	35	3726
10	39	3699
11	42	3679
12	46	3668
13	49	3679
14	53	3700
15	57	3682
16	60	3669
17	64	3665
18	67	3651
19	70	3638
20	74	3624
21	77	3615
22	81	3634
23	85	3652
24	89	3646
25	92	3637
26	96	3640
27	99	3634
28	103	3635
29	107	3634
30	110	3631
31	114	3636
32	118	3636
33	121	3634
34	125	3628
35	129	3639
36	132	3631
37	136	3625
38	139	3621
39	143	3618
40	147	3617
41	150	3612
42	154	3605
43	157	3599
44	162	3614
45	165	3614
46	169	3608
47	173	3607
48	176	3604
49	180	3600
50	183	3595
51	187	3592
52	191	3598
53	195	3591
54	198	3585
55	202	3579
56	206	3582
57	209	3580
58	213	3576
59	217	3573
60	221	3577
61	224	3573
62	228	3570
63	232	3569
64	235	3568
65	239	3569
66	243	3570
67	247	3566
68	251	3566
69	255	3563
70	258	3560
71	262	3556
72	266	3553
73	270	3556
74	274	3555
75	277	3554
76	281	3551
77	285	3553
78	289	3551
79	293	3550
80	297	3548
81	301	3551
82	305	3553
83	309	3549
84	313	3547
85	317	3547
86	320	3545
87	324	3545
88	328	3541
89	332	3539
90	336	3537
91	339	3532
92	343	3527
93	347	3526
94	351	3522
95	354	3519
96	358	3515
97	362	3516
98	366	3512
99	370	3508
100	374	3507
101	378	3506
102	382	3504
103	385	3501
104	389	3499
105	393	3498
106	397	3494
107	401	3491
108	404	3487
109	409	3488
110	413	3487
111	416	3483
112	420	3479
113	424	3478
114	428	3473
115	431	3469
116	435	3467
117	439	3464
118	443	3461
119	447	3458
120	451	3455
121	455	3454
122	458	3451
123	462	3446
124	466	3442
125	469	3438
126	473	3434
127	477	3431
128	481	3427
129	484	3423
130	488	3421
131	492	3418
132	496	3413
133	499	3409
134	503	3406
135	507	3402
136	511	3397
137	514	3393
138	518	3393
139	522	3390
140	526	3386
141	530	3382
142	534	3381
143	538	3377
144	541	3374
145	545	3372
146	549	3370
147	553	3367
148	557	3363
149	561	3361
150	565	3359
151	569	3355
152	572	3350
153	576	3346
154	580	3342
155	584	3339
156	588	3337
157	591	3334
158	595	3330
159	599	3327
160	603	3322
161	606	3318
162	610	3315
163	614	3311
164	621	3326
165	627	3331
166	632	3335
167	637	3338
168	643	3345
169	648	3347
170	653	3349
171	657	3348
172	661	3348
173	665	3344
174	670	3346
175	675	3345
176	679	3341
177	682	3337
178	686	3333
179	691	3334
180	695	3331
181	699	3327
182	703	3324
183	707	3319
184	710	3316
185	714	3311
186	718	3307
187	722	3303
188	726	3299
189	729	3295
190	734	3293
191	738	3290
192	741	3286
193	745	3282
194	749	3278
195	753	3274
196	757	3270
197	760	3265
198	764	3261
199	769	3260
200	772	3257
201	777	3255
202	781	3252
203	786	3252
204	790	3249
205	794	3245
206	798	3242
207	801	3237
208	805	3233
209	809	3229
210	813	3226
211	817	3223
212	821	3218
213	824	3215
214	828	3211
215	832	3206
216	836	3202
217	840	3198
218	844	3194
219	847	3191
220	851	3186
221	855	3182
222	859	3180
223	863	3176
224	867	3173
225	871	3169
226	875	3166
227	879	3162
228	882	3157
229	886	3154
230	890	3150
231	894	3147
232	898	3144
233	902	3140
234	907	3137
235	910	3134
236	914	3130
237	918	3125
238	922	3122
239	926	3117
240	929	3112
241	933	3109
242	937	3104
243	941	3101
244	945	3098
245	949	3094
246	953	3090
247	957	3087
248	960	3082
249	964	3079
250	968	3076
251	972	3073
252	976	3069
253	980	3064
254	984	3060
255	988	3056
256	991	3052
