area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
84.0,,,,,4.0,,,Have certificate,,8.6,"Văn Giang, Hưng Yên",1
60.0,,,,,5.0,,,,,7.5,"Văn Giang, Hưng Yên",1
90.0,6.0,13.0,Đông - Bắc,Đông - Bắc,5.0,,,Sale contract,,8.9,"Văn Giang, Hưng Yên",1
54.0,,3.5,Tây - Nam,Tây - Nam,2.0,2.0,3.0,Have certificate,Full,5.35,"Gò Vấp, Hồ Chí Minh",0
92.0,,,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.9,"Gò Vấp, Hồ Chí Minh",0
91.0,7.0,13.0,Tây - Bắc,,,,,Have certificate,,9.8,"Văn Giang, Hưng Yên",1
64.0,4.0,,,,5.0,,,,,7.2,"Văn Giang, Hưng Yên",1
74.0,5.0,18.0,Nam,Nam,5.0,4.0,5.0,Have certificate,,9.9,"Huyện Thường Tín, Hà Nội",1
48.0,,,,,5.0,6.0,,,Basic,5.7,"Văn Giang, Hưng Yên",1
91.0,7.0,,,,5.0,,,Have certificate,,9.5,"Văn Giang, Hưng Yên",1
80.0,5.0,13.0,Đông - Nam,,5.0,6.0,6.0,Have certificate,,10.0,"Văn Giang, Hưng Yên",1
70.0,6.0,13.0,Đông - Nam,,5.0,6.0,,,,9.8,"Văn Giang, Hưng Yên",1
60.0,,,,,5.0,,,,,8.9,"Văn Giang, Hưng Yên",1
91.0,,,,,,,,Have certificate,,8.6,"Văn Giang, Hưng Yên",1
96.0,6.0,13.0,Tây - Bắc,,4.0,,,Sale contract,,9.6,"Văn Giang, Hưng Yên",1
30.0,,,Đông - Nam,,2.0,2.0,2.0,Have certificate,Full,3.79,"Gò Vấp, Hồ Chí Minh",0
300.0,15.0,32.0,Đông,Nam,3.0,6.0,3.0,Have certificate,Full,9.4,"Vân Đồn, Quảng Ninh",1
91.0,7.0,17.0,Đông - Nam,Đông - Nam,,,,,Basic,10.0,"Văn Giang, Hưng Yên",1
65.0,5.0,20.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Sale contract,,7.8,"Văn Giang, Hưng Yên",1
46.0,4.6,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,7.99,"Gò Vấp, Hồ Chí Minh",0
75.0,5.0,13.0,Tây - Nam,Đông - Bắc,5.0,7.0,5.0,Sale contract,,8.7,"Văn Giang, Hưng Yên",1
100.0,,,,,3.0,3.0,3.0,,,3.3,"Tân Uyên, Bình Dương",1
84.0,6.0,,Tây - Bắc,,5.0,,,,,9.45,"Văn Giang, Hưng Yên",1
60.0,3.5,5.0,Đông - Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6,"Bình Thạnh, Hồ Chí Minh",0
369.0,15.0,12.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.3,"Thanh Thủy, Phú Thọ",1
75.0,5.0,13.0,Tây - Nam,Tây - Nam,,,,Have certificate,,7.7,"Văn Giang, Hưng Yên",1
55.0,5.0,,,,2.0,4.0,,Have certificate,Basic,3.25,"Bình Thạnh, Hồ Chí Minh",0
78.0,6.0,,,,5.0,,,Have certificate,,9.59,"Văn Giang, Hưng Yên",1
67.4,4.0,8.0,,,5.0,4.0,6.0,Have certificate,Basic,9.5,"Gò Vấp, Hồ Chí Minh",0
